날짜,시간,지역,자치구,측정수,평균소음,표준편차,높은소음수,높은소음비율,최대소음,최소소음
2026-08-03,0,도로·공원,Gwanak-gu,1,65.0,0.0,1,1.0,65.0,65.0
2026-08-03,0,도로·공원,Gwangjin-gu,3,52.666666666666664,8.730533902472517,1,0.3333333333333333,62.0,41.0
2026-08-03,0,도로·공원,Jongno-gu,10,55.8,10.235233265539181,6,0.6,68.0,38.0
2026-08-03,0,도로·공원,Jung-gu,7,46.142857142857146,10.03463390219197,1,0.14285714285714285,66.0,35.0
2026-08-03,0,도로·공원,Jungnang-gu,3,44.666666666666664,10.338708279513886,0,0.0,59.0,35.0
2026-08-03,0,도로·공원,Mapo-gu,13,54.61538461538461,9.817868024391986,5,0.38461538461538464,70.0,35.0
2026-08-03,0,도로·공원,Nowon-gu,4,53.75,9.229707470987366,2,0.5,64.0,40.0
2026-08-03,0,도로·공원,Seocho-gu,3,52.333333333333336,5.906681715556433,0,0.0,57.0,44.0
2026-08-03,0,도로·공원,Seodaemun-gu,5,56.6,6.0860496218811875,3,0.6,61.0,45.0
2026-08-03,0,도로·공원,Seongbuk-gu,1,55.0,0.0,0,0.0,55.0,55.0
2026-08-03,0,도로·공원,Seongdong-gu,1,67.0,0.0,1,1.0,67.0,67.0
2026-08-03,0,도로·공원,Songpa-gu,3,53.666666666666664,7.8457348639598665,1,0.3333333333333333,64.0,45.0
2026-08-03,0,도로·공원,Yangcheon-gu,3,62.666666666666664,2.8674417556808405,2,0.6666666666666666,66.0,59.0
2026-08-03,0,도로·공원,Yeongdeungpo-gu,3,56.333333333333336,9.809292646374765,1,0.3333333333333333,68.0,44.0
2026-08-03,0,도로·공원,Yongsan-gu,2,53.5,4.5,0,0.0,58.0,49.0
2026-08-03,0,전통시장,Dobong-gu,5,41.0,4.147288270665544,0,0.0,48.0,36.0
2026-08-03,0,전통시장,Dongjak-gu,1,44.0,0.0,0,0.0,44.0,44.0
2026-08-03,0,전통시장,Gangbuk-gu,4,50.25,5.261891294962297,0,0.0,59.0,45.0
2026-08-03,0,전통시장,Gangdong-gu,3,39.0,3.559026084010437,0,0.0,44.0,36.0
2026-08-03,0,전통시장,Gangnam-gu,2,46.5,0.5,0,0.0,47.0,46.0
2026-08-03,0,전통시장,Gangseo-gu,3,44.0,6.683312551921141,0,0.0,51.0,35.0
2026-08-03,0,전통시장,Guro-gu,3,42.666666666666664,5.436502143433373,0,0.0,47.0,35.0
2026-08-03,0,전통시장,Gwanak-gu,1,45.0,0.0,0,0.0,45.0,45.0
2026-08-03,0,전통시장,Gwangjin-gu,1,62.0,0.0,1,1.0,62.0,62.0
2026-08-03,0,전통시장,Jungnang-gu,2,41.5,3.5,0,0.0,45.0,38.0
2026-08-03,0,전통시장,Mapo-gu,3,47.666666666666664,3.6817870057291007,0,0.0,52.0,43.0
2026-08-03,0,전통시장,Nowon-gu,3,43.333333333333336,4.496912521077358,0,0.0,49.0,38.0
2026-08-03,0,전통시장,Seodaemun-gu,2,53.5,7.5,1,0.5,61.0,46.0
2026-08-03,0,전통시장,Songpa-gu,1,49.0,0.0,0,0.0,49.0,49.0
2026-08-03,0,전통시장,Yangcheon-gu,2,37.0,2.0,0,0.0,39.0,35.0
2026-08-03,0,주요도로,Dobong-gu,1,56.0,0.0,0,0.0,56.0,56.0
2026-08-03,0,주요도로,Eunpyeong-gu,1,67.0,0.0,1,1.0,67.0,67.0
2026-08-03,0,주요도로,Gangnam-gu,5,57.8,9.682974749528155,4,0.8,66.0,39.0
2026-08-03,0,주요도로,Gangseo-gu,3,51.0,11.575836902790225,1,0.3333333333333333,62.0,35.0
2026-08-03,0,주요도로,Gwanak-gu,1,58.0,0.0,0,0.0,58.0,58.0
2026-08-03,0,주요도로,Gwangjin-gu,1,49.0,0.0,0,0.0,49.0,49.0
2026-08-03,0,주요도로,Jongno-gu,5,53.2,7.1944422994419694,2,0.4,62.0,45.0
2026-08-03,0,주요도로,Jung-gu,3,66.0,6.48074069840786,2,0.6666666666666666,72.0,57.0
2026-08-03,0,주요도로,Mapo-gu,1,55.0,0.0,0,0.0,55.0,55.0
2026-08-03,0,주요도로,Seocho-gu,4,66.25,3.6996621467371855,4,1.0,71.0,61.0
2026-08-03,0,주요도로,Seongdong-gu,1,51.0,0.0,0,0.0,51.0,51.0
2026-08-03,0,주요도로,Yangcheon-gu,1,60.0,0.0,1,1.0,60.0,60.0
2026-08-03,0,주요도로,Yongsan-gu,1,53.0,0.0,0,0.0,53.0,53.0
2026-08-03,1,commercial_area,Dobong-gu,1,42.0,0.0,0,0.0,42.0,42.0
2026-08-03,1,commercial_area,Dongdaemun-gu,3,45.666666666666664,3.6817870057291007,0,0.0,50.0,41.0
2026-08-03,1,commercial_area,Dongjak-gu,1,45.0,0.0,0,0.0,45.0,45.0
2026-08-03,1,commercial_area,Gangbuk-gu,1,50.0,0.0,0,0.0,50.0,50.0
2026-08-03,1,commercial_area,Gangnam-gu,1,51.0,0.0,0,0.0,51.0,51.0
2026-08-03,1,commercial_area,Gangseo-gu,1,57.0,0.0,0,0.0,57.0,57.0
2026-08-03,1,commercial_area,Geumcheon-gu,2,48.5,8.5,0,0.0,57.0,40.0
2026-08-03,1,commercial_area,Guro-gu,1,40.0,0.0,0,0.0,40.0,40.0
2026-08-03,1,commercial_area,Gwanak-gu,1,51.0,0.0,0,0.0,51.0,51.0
2026-08-03,1,commercial_area,Gwangjin-gu,1,35.0,0.0,0,0.0,35.0,35.0
2026-08-03,1,commercial_area,Jungnang-gu,1,39.0,0.0,0,0.0,39.0,39.0
2026-08-03,1,commercial_area,Mapo-gu,1,55.0,0.0,0,0.0,55.0,55.0
2026-08-03,1,commercial_area,Nowon-gu,1,57.0,0.0,0,0.0,57.0,57.0
2026-08-03,1,commercial_area,Seocho-gu,1,51.0,0.0,0,0.0,51.0,51.0
2026-08-03,1,commercial_area,Seodaemun-gu,1,44.0,0.0,0,0.0,44.0,44.0
2026-08-03,1,commercial_area,Songpa-gu,3,44.333333333333336,6.12825877028342,0,0.0,53.0,40.0
2026-08-03,1,commercial_area,Yeongdeungpo-gu,3,50.666666666666664,3.299831645537237,0,0.0,55.0,47.0
2026-08-03,1,commercial_area,Yongsan-gu,1,42.0,0.0,0,0.0,42.0,42.0
2026-08-03,1,industrial_area,Dobong-gu,2,50.5,6.5,0,0.0,57.0,44.0
2026-08-03,1,industrial_area,Gangdong-gu,2,45.5,4.5,0,0.0,50.0,41.0
2026-08-03,1,industrial_area,Gangnam-gu,1,58.0,0.0,0,0.0,58.0,58.0
2026-08-03,1,industrial_area,Gangseo-gu,2,55.0,4.0,0,0.0,59.0,51.0
2026-08-03,1,industrial_area,Geumcheon-gu,1,46.0,0.0,0,0.0,46.0,46.0
2026-08-03,1,industrial_area,Guro-gu,3,46.333333333333336,1.2472191289246877,0,0.0,48.0,45.0
2026-08-03,1,industrial_area,Jung-gu,2,40.5,1.5,0,0.0,42.0,39.0
2026-08-03,1,industrial_area,Jungnang-gu,1,35.0,0.0,0,0.0,35.0,35.0
2026-08-03,1,industrial_area,Mapo-gu,3,47.333333333333336,6.34209919681349,0,0.0,56.0,41.0
2026-08-03,1,industrial_area,Nowon-gu,2,41.5,6.5,0,0.0,48.0,35.0
2026-08-03,1,industrial_area,Seocho-gu,1,53.0,0.0,0,0.0,53.0,53.0
2026-08-03,1,industrial_area,Seongbuk-gu,1,49.0,0.0,0,0.0,49.0,49.0
2026-08-03,1,industrial_area,Seongdong-gu,2,53.5,2.5,0,0.0,56.0,51.0
2026-08-03,1,industrial_area,Songpa-gu,1,47.0,0.0,0,0.0,47.0,47.0
2026-08-03,1,industrial_area,Yangcheon-gu,4,43.0,5.1478150704935,0,0.0,48.0,35.0
2026-08-03,1,industrial_area,Yeongdeungpo-gu,4,45.25,8.287792227125388,0,0.0,54.0,36.0
2026-08-03,1,public_facilities,Geumcheon-gu,4,40.0,4.527692569068709,0,0.0,45.0,35.0
2026-08-03,1,public_facilities,Seodaemun-gu,1,55.0,0.0,0,0.0,55.0,55.0
2026-08-03,1,residential_area,Dobong-gu,24,44.625,6.408409188974541,1,0.041666666666666664,60.0,35.0
2026-08-03,1,residential_area,Dongdaemun-gu,16,48.5625,6.837111506330725,2,0.125,63.0,37.0
2026-08-03,1,residential_area,Dongjak-gu,20,47.5,5.084289527554465,0,0.0,55.0,38.0
2026-08-03,1,residential_area,Eunpyeong-gu,12,43.583333333333336,6.061605031306119,0,0.0,54.0,35.0
2026-08-03,1,residential_area,Gangbuk-gu,14,43.285714285714285,4.919764387920721,0,0.0,52.0,36.0
2026-08-03,1,residential_area,Gangdong-gu,58,49.37931034482759,6.741092682856287,1,0.017241379310344827,61.0,35.0
2026-08-03,1,residential_area,Gangnam-gu,21,45.04761904761905,7.486344333112319,0,0.0,59.0,35.0
2026-08-03,1,residential_area,Gangseo-gu,27,46.148148148148145,6.198588272392736,0,0.0,56.0,35.0
2026-08-03,1,residential_area,Geumcheon-gu,9,44.44444444444444,3.6243347622889153,0,0.0,49.0,39.0
2026-08-03,1,residential_area,Guro-gu,16,47.375,8.053531833922307,0,0.0,59.0,35.0
2026-08-03,1,residential_area,Gwanak-gu,45,44.422222222222224,5.6114521348514055,1,0.022222222222222223,62.0,35.0
2026-08-03,1,residential_area,Gwangjin-gu,17,47.05882352941177,7.534005951334286,1,0.058823529411764705,61.0,36.0
2026-08-03,1,residential_area,Jongno-gu,32,45.25,7.132671308843553,2,0.0625,64.0,36.0
2026-08-03,1,residential_area,Jung-gu,12,42.166666666666664,6.229410530343594,0,0.0,54.0,35.0
2026-08-03,1,residential_area,Jungnang-gu,9,51.22222222222222,8.689428798229839,2,0.2222222222222222,64.0,37.0
2026-08-03,1,residential_area,Mapo-gu,42,44.523809523809526,5.072043334078118,0,0.0,57.0,35.0
2026-08-03,1,residential_area,Nowon-gu,17,43.1764705882353,5.782685048209178,0,0.0,55.0,35.0
2026-08-03,1,residential_area,Seocho-gu,18,45.0,6.79869268479038,0,0.0,58.0,35.0
2026-08-03,1,residential_area,Seodaemun-gu,12,46.0,6.454972243679028,1,0.08333333333333333,61.0,36.0
2026-08-03,1,residential_area,Seongbuk-gu,21,45.095238095238095,6.194504184046366,0,0.0,57.0,35.0
2026-08-03,1,residential_area,Seongdong-gu,48,50.125,8.586872247797798,9,0.1875,68.0,35.0
2026-08-03,1,residential_area,Songpa-gu,27,44.18518518518518,4.921886397149689,0,0.0,53.0,36.0
2026-08-03,1,residential_area,Yangcheon-gu,53,46.301886792452834,5.761239730515216,1,0.018867924528301886,60.0,36.0
2026-08-03,1,residential_area,Yeongdeungpo-gu,17,47.11764705882353,6.239177481057756,1,0.058823529411764705,61.0,37.0
2026-08-03,1,residential_area,Yongsan-gu,18,45.166666666666664,4.890466917040404,0,0.0,54.0,35.0
2026-08-03,1,공원,Gangdong-gu,1,52.0,0.0,0,0.0,52.0,52.0
2026-08-03,1,공원,Seoul_Grand_Park,2,45.0,5.0,0,0.0,50.0,40.0
2026-08-03,1,도로·공원,Dobong-gu,6,55.666666666666664,12.801909579781006,2,0.3333333333333333,77.0,35.0
2026-08-03,1,도로·공원,Dongdaemun-gu,2,56.5,3.5,1,0.5,60.0,53.0
2026-08-03,1,도로·공원,Dongjak-gu,2,46.0,1.0,0,0.0,47.0,45.0
2026-08-03,1,도로·공원,Eunpyeong-gu,2,46.5,11.5,0,0.0,58.0,35.0
2026-08-03,1,도로·공원,Gangbuk-gu,4,46.75,3.6314597615834874,0,0.0,53.0,44.0
2026-08-03,1,도로·공원,Gangdong-gu,6,58.833333333333336,6.439893028787203,3,0.5,64.0,46.0
2026-08-03,1,도로·공원,Gangnam-gu,7,58.714285714285715,6.755194524306805,4,0.5714285714285714,66.0,44.0
2026-08-03,1,도로·공원,Gangseo-gu,2,54.0,10.0,1,0.5,64.0,44.0
2026-08-03,1,도로·공원,Geumcheon-gu,3,46.666666666666664,8.339997335464542,0,0.0,54.0,35.0
2026-08-03,1,도로·공원,Gwanak-gu,1,63.0,0.0,1,1.0,63.0,63.0
2026-08-03,1,도로·공원,Gwangjin-gu,3,52.0,6.683312551921141,0,0.0,59.0,43.0
2026-08-03,1,도로·공원,Jongno-gu,10,55.9,7.930321557162745,4,0.4,66.0,39.0
2026-08-03,1,도로·공원,Jung-gu,8,45.25,7.806247497997997,1,0.125,62.0,35.0
2026-08-03,1,도로·공원,Jungnang-gu,3,46.333333333333336,8.379870059984363,0,0.0,55.0,35.0
2026-08-03,1,도로·공원,Mapo-gu,12,53.666666666666664,9.885455084224601,4,0.3333333333333333,68.0,35.0
2026-08-03,1,도로·공원,Nowon-gu,4,51.75,8.1967981553775,1,0.25,62.0,40.0
2026-08-03,1,도로·공원,Seocho-gu,3,51.0,5.0990195135927845,0,0.0,56.0,44.0
2026-08-03,1,도로·공원,Seodaemun-gu,5,54.0,6.06630035524124,1,0.2,60.0,43.0
2026-08-03,1,도로·공원,Seongbuk-gu,1,56.0,0.0,0,0.0,56.0,56.0
2026-08-03,1,도로·공원,Seongdong-gu,1,65.0,0.0,1,1.0,65.0,65.0
2026-08-03,1,도로·공원,Songpa-gu,3,53.666666666666664,7.8457348639598665,1,0.3333333333333333,64.0,45.0
2026-08-03,1,도로·공원,Yangcheon-gu,3,61.0,4.08248290463863,2,0.6666666666666666,66.0,56.0
